,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,"Shares Short (Jan 31, 2019)","Short Ratio (Jan 31, 2019)","Short % of Float (Jan 31, 2019)","Short % of Shares Outstanding (Jan 31, 2019)","Shares Short (prior month Dec 31, 2018)",Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor (new per old),Last Split Date
A,24950000000.0,24250000000.0,80.99,23.24,2.45,5.08,5.47,4.93,20.48,2018-10-31 00:00:00,2018-10-31 00:00:00,0.0643,0.1982,0.0718,0.0672,4910000000.0,15.31,0.08800000000000001,2690000000.0,1180000000.0,316000000.0,0.97,0.102,2250000000.0,7.05,1800000000.0,39.36,3.29,14.38,1090000000.0,673880000.0,1.23,0.0968,0.027999999999999997,78.79,60.42,72.66,68.72,2310000.0,1820000.0,317620000.0,317690000.0,0.0036,0.8937,4160000.0,2.0,0.0132,0.0131,4570000.0,0.66,0.0085,0.6,0.0077,0.96,0.6144,2019-01-23 00:00:00,2018-12-28 00:00:00,0.7153075822603719,2014-11-03 00:00:00
AA,5450000000.0,7960000000.0,24.37,9.56,3.78,0.41,1.0,0.59,2.67,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0169,0.16760000000000005,0.08410000000000001,0.1227,13400000000.0,71.97,0.054000000000000006,3320000000.0,2980000000.0,227000000.0,1.2,,1110000000.0,6.02,1800000000.0,24.37,1.42,29.15,448000000.0,1240000000.0,1.43,-0.4124,0.027999999999999997,62.35,25.01,28.46,34.96,3900000.0,3440000.0,186490000.0,184230000.0,0.0626,0.0,4930000.0,1.06,0.0265,0.0267,5470000.0,,,0.36,0.0128,,0.0,2016-11-25 00:00:00,,1.2484394506866416,2016-11-01 00:00:00
AABA,41820000000.0,59770000000.0,2.46,,,157.19,0.89,224.67,329.34,2017-12-31 00:00:00,2018-06-30 00:00:00,84.87950000000002,0.6822,0.0014000000000000002,0.4072,266050000.0,0.33,,54460000.0,181490000.0,22580000000.0,28.21,,2960000.0,0.0,4450000000.0,7.11,1.95,78.23,3730000000.0,,1.53,-0.0849,0.027999999999999997,82.45,54.75,65.06,64.42,7140000.0,5140000.0,602600000.0,719900000.0,0.1035,0.7340000000000001,21220000.0,2.7,0.0389,0.0352,19100000.0,,,,,,0.0,,,0.5,2004-05-12 00:00:00
AAC,76760000.0,377500000.0,,44.57,-3.71,0.24,0.53,1.19,12.08,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.1057,0.0269,0.0115,-0.2877,317330000.0,13.29,0.095,107310000.0,31240000.0,-33530000.0,-1.4,,5260000.0,0.21,330060000.0,264.7,2.16,5.89,-14500000.0,4540000.0,2.05,-0.6681999999999999,0.027999999999999997,12.96,1.33,2.51,4.93,346850.0,219050.0,24600000.0,12470000.0,0.4894,0.5278,2660000.0,7.93,0.2023,0.10800000000000001,2320000.0,,,,,,0.0,,,100.0,2013-03-20 00:00:00
AAL,16149999999.999996,45860000000.0,11.57,5.56,0.32,0.36,,1.03,8.18,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0317,0.07730000000000001,0.0384,0.7517,44540000000.0,95.94,0.032,11890000000.0,5610000000.0,1410000000.0,3.03,0.23600000000000002,4760000000.0,10.34,34290000000.0,,0.48,-0.37,,,1.68,-0.3305,0.027999999999999997,57.44,28.81,34.34,36.12,8490000.0,6610000.0,460580000.0,412480000.0,0.3998,0.1277,25460000.0,2.57,0.0735,0.0553,26230000.0,0.4,0.0113,0.4,0.0113,,0.132,2019-02-20 00:00:00,2019-02-05 00:00:00,['1' '0'],2013-12-09 00:00:00
AAMC,55490000.0,257090000.0,,,,3.68,,17.07,-37.57,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.5558,-0.489,-0.081,-0.1646,15060000.0,9.38,-0.11599999999999999,-2090000.0,-6840000.0,-8580000.0,-5.34,,48100000.0,29.45,,,9.7,-124.1,-390000.0,1310000.0,-0.18,-0.4985,0.027999999999999997,73.5,22.6,29.31,47.34,6380.0,6770.0,1630000.0,652970.0,0.4961,0.3354,31370.0,4.01,0.06150000000000001,0.0192,32800.0,,,,,,0.0,,,,
AAME,53120000.0,79100000.0,43.11,,,0.29,0.52,0.43,16.98,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0088,0.0194,0.0067,0.0155,185180000.0,9.1,0.035,47170000.0,4660000.0,1240000.0,0.06,0.25,10040000.0,0.5,33740000.0,33.04,1.16,5.05,-1400000.0,7310000.0,0.73,-0.2075,0.027999999999999997,3.8,2.2,2.65,2.71,3380.0,1370.0,20200000.0,5640000.0,0.8029000000000001,0.052300000000000006,7120.0,2.04,0.0017,0.0004,11750.0,0.02,0.0073,0.02,0.0073,0.56,0.3333,2018-04-23 00:00:00,2018-04-12 00:00:00,0.8,1986-11-04 00:00:00
AAN,3610000000.0,3970000000.0,19.32,12.38,1.18,0.94,2.05,1.04,7.07,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0512,0.1259,0.1092,0.1125,3830000000.0,55.39,0.12300000000000001,1910000000.0,562260000.0,196210000.0,2.78,-0.652,15280000.0,0.23,424750000.0,24.12,0.79,26.21,356500000.0,2150000000.0,1.1,0.1918,0.027999999999999997,56.0,38.77,48.53,48.52,613840.0,955970.0,67200000.0,66269999.99999999,0.0084,1.0548,4780000.0,10.12,0.0771,0.0696,5000000.0,0.14,0.0026,0.12,0.0024,0.3,0.0276,2019-01-07 00:00:00,2018-12-19 00:00:00,1.0,2010-04-16 00:00:00
AAOI,289260000.0,304360000.0,24.31,13.53,1.12,1.0,0.86,1.05,7.67,2017-12-31 00:00:00,2018-09-30 00:00:00,0.042,0.0409,0.0161,0.0368,289300000.0,14.8,-0.366,166280000.0,39690000.0,12140000.0,0.6,,62400000.0,3.15,71170000.0,21.21,2.6,16.98,52410000.0,-31260000.0,2.04,-0.4573,0.027999999999999997,50.3,13.42,16.19,24.04,703280.0,1100000.0,19800000.0,18720000.0,0.0584,0.6241,5550000.0,10.13,0.34240000000000004,0.2805,6350000.0,,,,,,0.0,,,,
AAON,2130000000.0,2040000000.0,46.92,30.05,3.82,5.0,8.55,4.8,27.47,2017-12-31 00:00:00,2018-09-30 00:00:00,0.1076,0.1353,0.1167,0.1909,425770000.0,8.13,-0.006,123400000.0,74460000.0,45810000.0,0.87,-0.043,10680000.0,0.2,,,2.69,4.78,60320000.0,-6310000.0,0.72,0.1584,0.027999999999999997,44.9,29.05,36.83,37.35,137440.0,124080.0,52090000.0,40440000.0,0.2206,0.7436,4480000.0,38.54,0.1093,0.0859,4330000.0,0.32,0.0083,0.29,0.0072,0.78,0.3333,2018-12-20 00:00:00,2018-11-28 00:00:00,0.666666666667,2014-07-17 00:00:00
AAP,12100000000.0,12330000000.0,28.97,20.34,1.17,1.26,3.41,1.29,12.98,2018-12-29 00:00:00,2018-12-29 00:00:00,0.0442,0.07429999999999999,0.0508,0.1217,9580000000.0,129.95,0.033,4230000000.000001,950330000.0,423850000.0,5.73,-0.71,896530000.0,12.3,1050000000.0,29.45,1.57,48.7,811030000.0,582180000.0,1.3,0.5127,0.027999999999999997,186.15,102.15,161.86,164.41,1190000.0,1460000.0,72890000.0,72600000.0,0.003,0.9972,3090000.0,2.28,0.0437,0.0424,3200000.0,0.24,0.0014000000000000002,0.24,0.0014000000000000002,0.17,0.04190000000000002,2019-01-04 00:00:00,2018-12-20 00:00:00,0.666666666667,2005-09-26 00:00:00
AAPL,811170000000.0,834290000000.0,14.19,13.5,1.15,3.1,6.9,3.19,10.49,2018-09-29 00:00:00,2018-12-29 00:00:00,0.2272,0.25980000000000003,0.1089,0.4605,261610000000.0,53.82,-0.045,101840000000.0,79520000000.0,59430000000.0,12.12,-0.005,86430000000.0,18.33,114730000000.0,97.32,1.3,24.92,75830000000.0,45140000000.0,0.99,-0.0091,0.027999999999999997,233.47,142.0,160.23,192.64,38990000.0,21870000.0,4720000000.0,4460000000.0,0.0007000000000000001,0.6115999999999999,40360000.0,1.03,0.0085,0.0086,45280000.0,2.92,0.0171,2.82,0.0165,1.71,0.2311,2019-02-14 00:00:00,2019-02-08 00:00:00,0.142857142857,2014-06-09 00:00:00
